100	4950
55	62	133
47	98	141
15	36	77
66	92	80
61	65	8
14	39	194
36	60	97
6	79	112
70	100	96
16	93	109
31	60	115
38	47	60
12	78	189
14	49	110
11	62	14
6	16	133
56	95	196
8	71	66
8	21	96
2	22	68
4	26	92
30	77	155
13	19	107
7	98	188
56	91	73
73	92	101
88	93	101
46	99	84
7	38	4
27	33	67
1	46	25
60	62	150
34	96	65
20	68	120
39	63	99
54	75	19
17	21	16
24	100	46
14	48	103
70	78	180
26	31	141
15	67	179
13	30	43
17	46	18
57	85	72
7	10	31
41	87	96
6	88	183
71	100	189
9	56	183
26	99	37
22	62	155
3	17	4
4	70	13
5	79	4
58	89	40
45	52	187
15	41	141
10	48	92
13	48	126
8	55	167
3	46	81
8	79	101
16	46	72
15	90	159
36	77	6
5	8	191
1	78	116
23	34	57
11	92	70
36	100	163
48	59	199
18	96	43
2	14	92
26	52	56
58	88	159
77	90	147
65	92	35
46	56	167
6	14	144
10	36	47
3	74	47
25	45	103
40	71	200
3	22	151
22	37	1
8	51	123
28	36	83
8	44	85
31	66	72
61	89	111
2	16	159
52	53	12
15	25	43
28	80	191
10	19	48
35	41	102
80	89	160
64	65	80
37	71	189
72	85	108
12	57	96
19	61	156
26	59	162
58	92	2
15	92	120
62	81	58
8	74	116
39	98	72
5	6	98
67	98	155
57	87	120
2	63	83
53	75	42
37	95	47
14	91	53
60	95	130
6	84	178
14	52	166
21	78	133
26	36	193
32	58	54
9	97	24
46	74	175
3	57	153
40	76	24
64	88	77
6	55	80
59	71	198
14	15	189
18	47	70
52	58	78
89	93	96
2	95	174
30	64	114
59	84	43
65	88	171
25	35	184
33	63	1
48	57	168
61	97	55
31	89	117
22	68	69
49	98	136
45	74	128
82	84	137
85	99	100
19	21	72
31	54	63
39	65	181
3	96	159
80	94	94
9	87	55
37	62	199
15	89	174
12	100	15
7	61	56
16	65	40
70	81	66
42	53	79
29	84	168
61	69	53
68	78	121
59	96	165
1	4	133
11	19	167
57	66	85
16	54	4
45	89	181
46	49	187
38	71	190
80	83	52
42	85	150
72	98	98
35	88	68
28	75	126
9	78	126
27	76	178
11	27	77
43	61	3
99	100	52
26	42	68
29	62	173
37	67	14
75	85	93
15	82	140
47	69	57
6	50	70
48	75	137
56	62	28
8	15	171
6	94	109
8	11	51
15	98	24
23	27	41
8	36	188
7	96	180
20	73	155
67	94	198
7	42	52
66	93	16
36	73	17
5	60	112
66	73	46
34	54	31
54	59	172
34	55	96
1	77	116
15	91	174
65	66	135
29	94	13
6	19	174
91	99	83
31	77	142
5	29	64
2	41	30
17	20	117
54	61	52
6	95	17
58	73	12
33	77	26
61	91	106
19	22	162
31	55	51
69	82	135
25	49	95
22	53	87
25	39	34
22	56	179
80	85	139
22	36	68
32	70	116
47	91	44
40	41	179
36	71	135
28	96	184
88	94	57
41	61	80
31	100	113
11	29	41
26	91	86
28	53	24
16	71	121
8	59	63
45	51	92
20	22	163
47	48	137
29	31	93
3	41	54
2	30	167
98	99	151
69	76	65
6	59	5
49	61	76
37	82	157
11	15	168
47	50	124
7	72	9
62	92	66
14	42	39
41	89	60
73	95	198
14	45	159
38	100	34
10	93	82
33	85	23
43	54	115
3	43	81
72	96	164
28	29	184
62	75	95
32	77	94
38	65	24
15	79	43
41	62	171
70	79	64
26	30	165
51	65	35
6	40	15
21	43	67
24	38	144
61	99	61
37	83	170
5	9	6
59	93	41
66	83	58
2	11	159
21	97	172
18	95	139
33	61	190
52	95	138
18	19	123
35	40	167
58	97	164
48	50	184
86	93	136
57	61	65
98	100	191
6	38	21
18	69	169
54	60	113
77	79	26
14	35	3
2	61	41
12	18	67
33	70	178
13	25	42
81	84	56
10	62	104
26	55	47
11	99	138
14	82	41
65	96	148
7	14	167
36	70	2
29	75	122
31	97	46
11	90	186
43	94	117
32	100	95
4	80	18
28	89	78
51	63	176
1	44	23
25	27	26
7	99	117
26	79	141
41	90	197
43	99	41
15	49	171
28	79	107
29	63	33
63	97	175
38	41	169
71	74	12
35	42	108
93	96	80
1	9	60
1	98	102
3	29	168
45	77	28
2	99	174
41	66	58
57	72	46
7	75	72
13	83	59
59	77	160
42	82	189
1	29	20
4	88	78
90	98	1
56	86	50
23	69	84
78	82	66
6	96	171
69	97	90
77	96	183
36	42	89
32	67	112
33	66	10
40	73	178
13	18	129
39	54	143
16	86	167
71	86	174
80	100	154
9	55	50
18	53	167
68	71	142
46	69	41
39	78	167
87	88	142
7	74	74
17	29	104
49	53	152
41	67	34
41	47	110
56	65	171
28	94	138
8	84	64
5	55	44
61	71	37
28	60	161
94	97	99
10	17	6
33	99	97
4	57	131
40	58	196
68	92	197
11	12	129
25	38	24
70	72	149
17	40	61
10	27	123
35	60	185
6	36	157
28	81	182
28	64	174
26	60	126
10	64	136
38	90	181
18	68	186
13	21	102
7	21	76
23	95	192
57	78	77
45	100	139
23	48	173
10	90	38
59	85	15
16	39	50
15	75	185
67	76	85
27	95	15
21	47	200
42	99	124
49	73	73
12	17	27
43	56	80
41	58	126
72	77	180
20	78	100
21	67	30
24	91	8
6	71	57
73	77	88
80	87	31
12	49	35
26	33	192
25	87	110
74	79	199
2	80	25
29	39	77
44	58	77
19	85	26
10	12	145
51	77	88
85	95	150
4	10	27
3	80	79
7	83	46
14	31	149
1	65	56
31	56	146
85	92	23
31	98	149
58	64	35
11	88	21
3	26	190
44	85	65
1	56	27
9	43	150
28	73	93
2	62	51
45	65	89
23	81	130
29	97	14
85	100	80
76	77	107
64	86	47
56	87	74
19	26	153
40	54	181
74	88	185
74	93	94
18	66	84
51	81	35
47	84	46
72	89	113
6	39	194
51	95	136
19	35	57
8	60	112
59	73	191
90	94	2
24	88	186
1	42	122
26	98	53
25	68	36
30	40	4
11	93	44
32	59	169
30	51	194
24	92	54
12	14	46
45	58	44
54	80	49
66	72	108
25	28	68
71	75	35
72	94	148
36	38	163
65	93	86
1	59	80
11	74	96
62	91	24
35	67	145
10	72	55
43	88	113
26	66	121
9	18	36
58	85	33
66	99	138
29	35	186
34	53	59
38	62	100
28	95	50
18	62	130
1	71	199
1	81	1
21	35	17
49	57	3
7	39	108
48	60	181
18	82	191
1	60	110
12	86	1
22	94	97
78	89	110
76	81	116
63	78	36
84	99	42
3	58	139
39	70	94
32	91	4
58	77	185
42	43	88
7	32	94
51	54	93
29	68	156
63	80	93
40	61	68
12	91	175
13	45	140
73	89	26
29	49	138
27	89	63
60	92	189
3	59	111
45	93	16
66	71	53
63	93	8
84	95	53
56	58	65
84	91	68
22	31	92
8	63	42
20	95	100
23	55	102
20	21	105
58	63	16
52	68	148
17	83	85
10	15	4
2	94	86
8	66	176
51	89	146
6	10	46
32	43	118
23	30	4
24	98	50
83	85	5
21	60	158
72	80	30
76	98	68
12	83	137
64	95	135
61	64	162
12	37	85
34	69	120
49	92	81
13	17	38
42	97	196
14	16	11
53	92	189
75	82	87
74	89	30
6	24	79
51	94	121
51	97	98
8	27	75
44	48	84
65	72	200
4	41	147
33	54	31
19	30	9
26	92	175
60	71	122
8	93	90
56	71	54
53	94	161
22	55	41
16	40	112
18	52	1
2	25	140
60	97	167
16	61	34
47	96	98
28	38	90
6	32	25
1	3	131
5	68	7
36	86	72
54	86	67
26	94	196
56	76	129
61	78	163
25	47	147
3	42	113
45	70	164
13	60	86
42	98	55
28	41	66
70	96	99
13	22	109
2	10	138
37	100	42
49	84	194
20	31	109
20	86	99
52	78	91
9	96	90
25	31	145
33	90	141
17	94	160
67	90	128
24	53	55
6	67	128
34	79	74
39	95	78
14	78	161
7	86	47
47	49	196
19	59	145
64	97	13
56	59	96
49	52	166
60	83	130
25	36	157
64	79	111
15	54	157
32	76	157
37	78	144
4	49	75
21	39	2
3	69	197
10	89	7
1	28	31
86	98	103
8	86	45
11	48	9
21	74	155
7	71	189
49	79	144
79	97	79
50	83	97
66	96	57
34	85	19
45	49	104
12	56	104
37	77	42
35	99	118
7	56	38
19	25	92
60	99	53
29	66	46
86	96	15
77	89	195
82	90	73
46	98	166
4	25	78
39	85	58
10	51	51
27	47	17
6	68	119
11	78	143
19	78	27
18	78	42
24	84	174
10	99	84
48	100	45
21	27	36
77	86	145
52	74	122
84	87	41
3	54	162
55	98	122
73	79	43
23	62	115
75	86	25
54	64	102
46	81	7
19	73	140
13	51	72
29	32	128
5	34	48
27	60	127
23	45	7
54	56	174
43	48	126
42	48	197
49	91	5
1	35	139
64	93	52
90	96	98
23	75	17
3	92	188
1	88	129
23	53	69
36	79	82
16	76	107
8	41	176
14	87	188
35	68	87
54	98	71
8	34	185
77	83	54
16	59	103
25	70	18
45	57	37
28	56	63
25	30	10
23	40	81
38	77	165
41	94	87
12	58	14
60	80	151
75	96	148
3	11	195
11	38	139
16	28	35
25	74	161
20	46	171
45	76	200
71	80	77
51	74	6
16	88	186
5	87	83
65	78	174
11	59	155
24	56	105
4	97	182
53	98	189
52	90	164
36	93	196
9	90	132
7	26	90
80	97	38
20	93	84
5	56	112
18	56	127
22	28	150
55	68	115
36	54	158
34	47	57
23	49	91
39	56	51
8	70	168
66	76	180
69	79	175
21	76	16
27	32	138
72	78	93
80	91	122
60	90	41
36	89	54
10	41	109
10	16	151
62	82	19
40	45	89
29	90	117
57	58	188
53	67	30
18	51	124
38	88	148
18	67	190
3	34	190
33	47	197
62	85	122
52	54	67
4	33	171
4	82	147
51	92	25
26	87	71
61	84	169
19	44	37
2	58	31
24	29	112
9	91	121
29	59	172
11	75	6
31	59	65
23	96	198
12	52	84
94	99	91
17	50	19
23	88	9
20	55	183
31	71	138
17	31	199
56	92	86
37	84	162
88	99	9
10	39	149
83	97	20
29	78	70
83	93	33
22	45	48
27	69	1
7	58	81
38	75	72
30	87	104
35	79	172
60	67	154
35	45	73
62	95	71
58	90	169
7	48	96
10	46	186
47	55	140
55	77	32
25	67	116
55	84	165
1	48	3
70	86	134
66	86	138
14	67	96
60	69	107
14	68	186
18	40	92
77	93	149
21	24	14
4	47	58
83	94	175
12	74	58
15	53	109
57	77	4
71	79	172
14	32	138
26	89	113
20	99	13
57	94	8
13	56	59
77	95	163
19	86	93
60	98	60
62	84	14
5	42	5
17	92	177
30	48	102
80	84	18
8	95	167
24	34	200
51	58	7
11	53	81
33	60	20
35	93	199
24	33	115
39	57	17
65	70	194
4	55	141
44	86	164
9	21	108
48	86	77
29	91	23
19	55	86
7	54	121
20	76	84
44	51	93
51	75	124
18	30	49
51	72	146
24	77	194
35	51	82
17	64	187
2	83	110
42	75	192
36	41	42
4	77	72
1	2	180
9	12	75
86	97	39
44	49	47
43	49	42
11	83	65
46	70	165
40	86	27
25	61	4
4	42	17
18	58	7
58	80	48
3	76	72
19	20	120
15	47	135
50	52	169
66	80	50
6	72	53
53	97	105
8	26	173
24	72	146
24	41	47
30	63	8
38	93	93
85	91	121
11	89	161
43	81	56
55	85	176
46	90	128
3	39	109
43	67	58
55	82	160
26	88	81
11	44	158
7	65	172
9	80	138
63	73	156
23	44	44
39	41	166
2	45	57
34	56	19
68	93	132
32	73	62
32	57	4
35	95	46
93	97	21
37	44	125
3	25	131
69	78	16
15	83	101
77	85	23
14	62	6
92	99	15
25	51	10
8	16	23
56	68	119
59	87	200
34	46	113
4	53	1
15	45	163
46	55	81
29	57	66
14	37	86
62	70	68
24	87	150
48	54	106
14	40	52
7	33	106
50	56	189
43	72	40
28	77	99
79	80	77
53	87	153
39	75	168
30	60	177
83	89	77
23	63	75
5	58	27
39	96	166
6	60	115
66	100	68
37	40	173
68	99	49
79	100	93
80	93	28
32	45	142
76	87	49
68	91	157
51	67	22
69	89	170
2	43	37
36	95	35
76	85	154
78	93	137
22	57	189
3	45	110
32	61	74
20	72	15
32	33	111
25	82	151
21	54	69
61	90	5
9	85	3
84	100	111
5	31	71
21	55	102
21	22	62
4	76	116
16	66	199
16	57	171
17	53	115
55	76	87
79	94	55
12	38	23
33	42	5
6	90	25
39	93	136
26	47	124
63	66	119
5	30	153
19	54	116
16	63	196
1	45	37
46	57	128
77	80	10
27	35	113
14	64	8
2	56	142
1	52	157
10	43	166
31	67	101
29	38	122
19	83	141
33	57	75
36	37	166
3	32	29
74	76	92
9	63	93
38	86	48
20	81	111
2	86	74
65	89	132
8	49	3
54	88	65
3	6	74
19	28	123
24	67	69
65	87	10
22	71	11
51	73	147
53	69	112
72	97	75
9	62	56
55	63	144
23	80	119
23	73	98
9	15	33
4	9	66
5	90	37
31	53	42
82	93	55
54	93	86
19	93	87
69	74	185
14	18	132
7	37	171
30	100	196
64	74	121
32	84	16
94	100	181
86	95	180
7	35	112
2	51	109
28	67	141
68	69	150
38	95	152
44	47	4
63	82	159
9	22	64
90	95	40
45	84	38
35	53	123
55	72	28
20	48	65
28	31	36
8	83	13
15	17	157
63	65	146
16	67	119
63	69	21
12	89	54
6	52	4
40	43	9
1	100	23
23	77	51
45	61	158
52	77	186
15	24	60
38	50	150
43	66	26
72	79	196
27	75	127
5	54	19
24	66	46
16	100	95
21	63	17
11	25	93
56	88	133
54	87	110
45	73	5
36	91	167
71	85	188
12	98	119
61	75	181
18	60	179
5	96	157
6	99	31
50	71	187
17	84	102
5	80	126
66	87	20
20	64	17
7	12	18
5	11	3
19	84	170
9	48	74
22	100	163
79	82	72
20	30	167
6	37	62
53	65	99
78	99	1
66	98	31
31	76	138
17	26	46
25	63	26
73	91	136
19	50	21
65	99	182
19	82	174
9	51	70
69	94	180
2	8	1
21	59	12
42	52	176
2	74	95
30	79	198
44	93	198
41	50	2
13	42	66
19	77	27
7	17	177
9	75	1
8	82	110
65	91	74
52	87	199
35	48	146
19	52	117
2	97	39
34	89	176
20	39	84
4	62	113
31	96	99
48	97	116
1	5	105
22	48	174
10	92	156
9	14	11
65	97	192
43	98	171
10	76	19
26	97	61
12	87	150
22	96	157
20	97	141
16	98	154
16	20	145
53	68	195
13	81	131
58	78	52
39	45	155
66	74	35
44	94	19
24	79	184
31	83	109
11	71	140
63	71	148
13	55	137
26	84	58
24	80	50
1	21	109
11	42	4
82	95	199
33	88	166
52	57	159
33	98	61
71	97	154
77	78	43
32	83	30
38	87	49
35	85	136
38	67	98
44	74	92
31	82	129
20	40	29
78	100	190
13	77	14
36	45	6
60	82	144
10	49	193
15	33	12
43	46	31
3	49	20
23	99	61
48	71	14
11	33	84
10	28	113
20	24	132
6	97	18
2	27	7
63	87	176
25	76	184
28	74	127
73	100	38
78	80	58
14	96	156
10	60	165
24	74	43
4	16	194
59	61	137
3	72	194
27	51	100
13	40	127
59	68	82
34	38	199
64	96	131
20	85	35
31	35	49
16	72	25
78	88	6
24	32	111
59	65	79
89	90	121
9	33	136
68	81	36
71	95	160
26	95	100
9	66	198
9	28	91
21	89	92
85	96	43
56	97	155
42	78	126
42	86	16
19	75	156
21	52	77
47	71	189
6	76	35
27	83	191
1	54	14
8	89	194
52	91	33
23	64	162
13	54	76
37	48	69
13	93	155
22	72	62
28	59	65
2	77	153
8	61	125
54	76	136
13	94	148
70	83	165
16	92	135
23	82	88
16	78	78
6	83	132
40	65	101
23	52	181
32	46	29
5	81	45
62	74	142
29	77	135
20	59	173
41	70	75
19	94	161
3	51	116
12	23	106
34	84	134
22	92	139
36	44	28
61	80	151
25	91	137
7	43	154
50	73	29
22	91	42
21	38	154
55	78	102
53	77	48
92	94	85
78	81	142
22	61	186
25	41	185
48	98	71
46	92	10
24	65	120
81	85	163
9	92	89
7	89	82
11	76	98
89	99	146
4	59	98
50	82	22
36	47	26
16	82	87
9	52	171
11	85	16
38	91	11
31	99	104
15	52	155
18	87	191
35	78	157
29	40	181
10	66	173
33	82	159
31	73	12
60	63	76
77	91	173
22	63	191
67	89	18
5	57	109
37	45	126
17	77	50
53	85	89
31	49	167
49	59	167
72	95	198
12	25	178
14	92	41
15	46	81
3	40	112
11	47	121
38	96	98
28	40	107
45	68	22
21	41	62
29	95	42
74	91	175
65	81	84
4	50	150
8	91	38
25	62	42
42	70	103
19	88	88
28	68	72
44	53	120
17	18	109
6	13	96
87	99	197
4	99	133
47	65	67
37	61	119
19	49	182
2	64	5
22	23	141
51	96	137
8	76	87
23	51	77
51	83	66
64	98	69
91	92	106
74	85	55
19	66	133
24	95	153
32	75	157
18	28	178
54	55	62
10	87	60
4	34	128
8	50	96
11	79	134
17	55	170
51	91	184
18	91	198
18	64	199
57	68	52
22	78	143
17	22	48
17	72	90
6	56	117
26	58	138
29	42	99
14	75	126
30	80	69
11	22	17
15	87	24
57	97	96
1	94	18
33	87	139
27	55	159
68	74	133
6	44	106
59	66	87
61	93	122
1	49	170
11	63	27
21	79	196
14	72	46
7	9	4
19	69	43
27	44	121
70	75	126
3	31	9
34	57	56
49	76	94
5	52	8
45	72	21
37	91	185
73	94	82
48	62	30
16	23	118
75	99	99
45	80	162
61	88	133
2	71	57
42	66	53
26	62	184
29	70	1
54	58	177
21	71	4
48	49	98
13	85	88
69	99	103
49	50	16
45	67	167
56	85	114
56	90	165
20	79	61
62	69	133
30	52	168
55	56	67
18	35	51
25	99	150
40	81	42
6	21	26
4	19	199
36	82	166
13	71	102
35	37	67
31	46	40
53	56	127
17	57	152
18	38	161
21	94	18
30	35	13
50	53	149
41	74	34
67	88	166
55	96	35
3	7	71
18	70	99
83	92	184
29	93	20
44	82	53
33	94	161
36	55	175
7	93	10
47	73	112
43	64	144
45	55	89
28	43	74
55	97	110
8	85	80
3	23	173
68	79	22
8	80	170
63	100	91
20	34	15
28	63	82
3	56	98
26	93	48
29	89	119
23	43	136
18	22	56
29	52	171
64	87	66
36	84	124
89	92	74
75	84	147
79	99	24
3	50	136
41	63	19
3	70	123
47	59	61
31	74	81
62	71	63
7	20	146
17	49	80
24	40	96
58	74	178
24	94	18
11	60	126
17	100	106
44	55	162
8	37	28
10	47	184
39	44	1
6	17	120
76	94	195
45	86	200
14	71	145
30	59	196
26	53	125
80	88	9
10	75	116
33	65	30
60	75	181
89	100	20
15	43	70
58	59	53
19	79	171
48	74	60
53	81	177
5	28	11
61	68	130
48	94	123
25	75	74
7	64	143
29	45	41
35	71	106
3	36	90
1	39	194
6	22	12
24	27	109
46	93	166
6	81	59
24	36	8
28	30	140
74	78	127
5	21	188
9	73	74
67	95	99
43	55	3
44	57	10
80	98	40
47	81	11
20	29	187
36	50	80
49	58	110
12	50	103
67	85	83
30	55	149
23	76	163
42	46	120
36	78	189
60	94	169
53	88	185
75	83	42
20	44	6
84	97	100
33	81	153
6	80	181
46	58	175
11	35	191
33	38	100
42	59	20
25	95	109
4	35	89
43	100	171
50	90	113
47	56	65
43	73	12
18	74	16
70	91	143
17	33	57
28	82	142
4	90	59
2	13	79
40	56	125
36	72	128
36	40	158
63	72	92
73	81	139
34	97	74
32	55	161
27	99	38
21	72	60
32	97	92
29	51	135
8	42	107
16	42	69
66	67	158
69	93	31
41	82	49
31	63	47
5	69	50
45	94	44
31	37	93
9	99	71
74	100	189
24	59	13
61	63	128
53	71	54
35	70	122
11	69	62
61	96	44
53	55	122
61	66	70
58	72	157
59	80	179
24	57	51
52	76	45
41	83	142
25	40	177
23	71	71
52	67	20
19	57	127
42	94	93
14	41	158
50	98	133
45	47	109
27	71	52
27	29	103
80	82	126
19	99	13
15	64	38
50	66	186
56	73	66
22	32	19
29	96	111
83	87	108
43	71	46
1	76	87
25	57	191
56	89	190
25	42	93
6	34	67
39	99	67
2	82	134
5	75	133
68	89	62
15	62	1
24	58	172
10	71	23
7	49	165
6	89	104
20	60	22
27	78	3
25	94	164
13	79	54
71	89	36
2	70	58
7	84	185
20	96	103
11	70	69
87	92	195
3	60	154
11	30	93
13	36	192
1	79	23
59	90	186
1	80	43
5	48	188
14	38	28
96	99	88
2	4	160
25	100	17
5	43	85
73	98	167
13	32	154
7	27	173
16	91	176
12	95	87
17	68	81
70	98	176
8	92	199
61	81	43
9	44	128
15	63	88
39	62	184
22	30	33
12	60	199
5	26	93
52	59	21
57	82	197
59	82	28
49	100	174
73	99	5
64	92	54
9	84	141
59	76	114
3	16	49
46	64	183
70	80	103
41	57	168
41	73	159
11	40	32
57	62	107
9	26	128
28	71	43
37	53	19
21	92	139
43	68	39
22	50	1
35	43	127
57	91	33
1	96	71
18	42	196
44	100	144
38	59	193
34	62	149
27	50	106
33	93	5
27	54	162
55	66	185
3	87	21
26	76	24
62	88	17
67	80	42
22	99	180
72	75	2
29	100	126
18	48	47
36	62	192
19	45	108
36	75	29
23	26	151
22	84	40
69	91	87
12	15	22
36	69	34
76	90	157
18	98	93
3	8	134
7	60	53
25	93	55
34	60	158
49	89	99
18	85	146
72	100	118
79	83	52
1	64	124
24	71	134
52	75	1
56	75	103
31	70	190
3	33	145
38	58	179
30	34	194
21	73	40
14	28	49
1	62	129
65	69	164
90	97	9
32	52	8
47	75	117
41	85	200
24	68	68
3	78	57
9	98	126
26	73	166
78	85	179
24	42	127
39	84	173
38	48	47
36	58	33
86	87	110
83	99	138
4	17	76
38	99	94
16	81	40
43	58	189
4	54	168
5	20	63
11	87	121
20	43	78
34	81	138
25	44	116
9	100	124
34	35	93
48	70	124
74	98	152
30	46	20
32	74	10
71	87	198
50	89	100
13	99	91
13	57	103
37	64	188
40	67	189
67	91	159
23	50	185
23	90	35
8	46	1
61	74	151
41	68	51
22	47	184
92	97	118
16	62	130
49	85	34
45	90	58
4	95	123
81	96	177
31	93	82
13	15	11
61	76	36
27	41	40
35	61	167
56	67	131
16	44	187
29	69	194
10	38	85
24	37	141
9	24	26
25	32	130
28	47	129
44	79	103
26	43	129
63	70	82
62	94	182
12	55	78
30	41	174
17	36	7
38	42	73
1	30	112
72	90	96
28	57	3
5	91	197
13	65	193
33	46	84
8	33	178
59	75	176
7	40	135
33	78	136
20	92	62
52	62	51
13	70	181
58	61	19
21	93	171
61	62	46
14	61	124
4	45	34
2	57	3
72	83	186
13	24	93
18	34	12
24	64	3
73	97	14
49	55	136
6	85	72
8	31	108
26	81	34
27	84	64
48	77	193
31	61	43
19	56	159
70	88	61
29	83	185
36	74	122
13	64	109
35	87	113
7	55	11
34	75	37
12	40	11
23	37	147
47	58	71
37	59	117
21	53	3
44	96	95
55	90	2
9	16	8
67	79	10
3	30	140
47	79	76
73	82	23
50	64	117
16	69	44
39	91	120
15	97	15
49	72	167
50	97	96
35	74	87
22	83	153
11	49	124
67	96	57
27	91	61
36	68	18
10	56	130
10	73	128
22	93	43
10	30	172
44	75	194
15	22	31
34	40	195
43	83	75
19	27	75
46	88	126
34	88	47
1	31	184
5	94	159
66	95	56
89	97	163
69	95	97
3	63	140
18	90	19
32	37	6
34	100	71
22	43	12
12	16	107
31	80	101
29	73	23
68	88	118
17	23	71
83	96	24
9	41	114
19	60	131
